pca_1,pca_2,tsne_1,tsne_2,dataset
-2672.427765128557,-1310.3021612154032,0.5424472,1.980267,Cityscapes
8273.654498243233,-2289.5037583176013,-2.7447813,5.3045564,Cityscapes
1480.098121180771,4795.353683773484,5.239007,-3.2353196,Cityscapes
-6355.22458978923,2469.30363399238,0.32758185,0.37889037,Cityscapes
-2672.4277651285497,-1310.3021612154128,0.5424475,1.9802641,Cityscapes
1337.7965455660692,-2406.923279494137,3.0072045,2.7583268,Cityscapes
-4423.127781743989,-8381.603090813609,-1.6761695,2.7799296,Cityscapes
3846.695714635032,15655.253765064415,3.1014388,-5.9941435,Cityscapes
4361.865634500692,-12832.869181182097,0.27370197,7.4465103,Cityscapes
-168.87981523329876,6701.788504775302,-2.9441388,-4.249457,Cityscapes
-6084.46561648425,1748.1807499443967,3.931961,0.7637495,Cityscapes
3175.5286136339087,5092.067479181262,4.373128,-4.022057,Cityscapes
-1987.5782427578226,4384.158176364128,2.970896,1.5798547,Cityscapes
1887.1579654324644,-12446.744648530352,-2.3823795,7.765811,Cityscapes
-5892.144942475768,-3677.8428398356878,-2.2232425,0.47868162,Cityscapes
-5440.812355409828,-7283.6622244530845,-3.6970022,-1.4082317,Cityscapes
1100.0146240539589,-6413.039308136083,-1.3896663,5.2646194,Cityscapes
-5151.460575497122,-755.5060773146572,-1.0789844,-0.9234965,Cityscapes
4230.456229430387,-14293.558328879146,-0.7855069,8.062738,Cityscapes
1104.8168940822147,-5531.789661420614,-0.36112717,4.6706634,Cityscapes
-8206.299263945913,-1167.8849408809847,-2.109818,1.2364614,Cityscapes
-1285.5983721157352,-1324.3699465554903,1.6836466,2.203756,Cityscapes
1703.2937830159306,4027.1752540613247,5.453237,-2.627219,Cityscapes
5312.675031449177,-11375.883903274547,-1.5974412,8.194628,Cityscapes
-4419.326456285532,-10690.112883325019,-1.5314928,6.19494,Cityscapes
2626.084444716196,1967.8880406035767,-6.0259895,5.6968293,Cityscapes
-4344.532921047844,4193.1543056954715,1.6915169,-0.98689,Cityscapes
5155.282170161255,536.5187592690745,2.9361799,3.8073015,Cityscapes
-888.2824235200114,-12108.874736552887,-1.6286314,7.0382032,Cityscapes
4467.1535420344735,-7380.734552825703,1.3325078,6.2621284,Cityscapes
-4447.502295764878,-1711.7333539811013,-2.3935244,-0.734331,Cityscapes
-8592.375187952592,-4194.418459735347,-1.9966736,0.76098937,Cityscapes
712.3391189117838,6746.346349223233,1.670426,0.3041845,Cityscapes
945.1447155004141,14838.423307289657,2.370795,-6.024045,Cityscapes
-5441.931209164198,1664.9181466812524,0.70627624,-1.7632686,Cityscapes
2896.684368439328,-2458.2220966428054,8.17282,3.1698487,Cityscapes
-5123.082988860732,-2455.5987596116565,-0.20678098,0.27896938,Cityscapes
-11077.065262773373,-554.3136761697364,-0.6534579,1.3672554,Cityscapes
-2236.795638987322,-3054.7183004950557,-2.9242141,-0.49957892,Cityscapes
2810.303835720554,6627.496837576169,4.427737,-4.042706,Cityscapes
8305.29245341578,10701.578183333335,3.0136375,-7.103632,Cityscapes
-17595.079421816088,-5602.091934894404,-6.243596,0.12804504,Cityscapes
1865.5307885369325,-7887.352193614506,4.4142146,7.8102994,Cityscapes
3766.5995805446637,7664.0597045270415,2.6999757,-4.54162,Cityscapes
4534.051541107638,-6708.720528032953,1.3776672,6.1339607,Cityscapes
1100.0146240539589,-6413.039308136083,-1.3896663,5.2646194,Cityscapes
-6029.534393579247,-6108.919222266837,-0.6690707,2.4639971,Cityscapes
4186.786892474063,2100.566779548352,6.273538,-2.4509282,Cityscapes
456.4434711471618,13875.829179595617,1.5706189,-5.839554,Cityscapes
-17595.079421816088,-5602.091934894404,-6.243544,0.12808836,Cityscapes
4108.533329539632,-5068.712759877802,1.2771871,5.290935,Cityscapes
-3318.7857337063065,2242.561305667163,-0.30577528,-1.3355739,Cityscapes
-9850.545171367086,605.2107193906556,-2.745696,0.14341813,Cityscapes
173.64862744026817,-9786.86814530006,-2.0910916,6.2498813,Cityscapes
-3492.787956819327,1192.481047467659,-4.1158333,-4.0943437,Cityscapes
880.2996431427116,-14213.332079761198,-1.5856972,7.365641,Cityscapes
-5496.659076181525,449.63407834301427,-0.4908921,0.6852067,Cityscapes
-2545.5879028538357,3546.421197657802,0.47469574,-2.8332667,Cityscapes
-6656.73332343351,1394.6403868006162,-0.25203952,-1.0922908,Cityscapes
-1487.9918012741493,-1957.6211715416673,0.7017126,-2.8962233,Cityscapes
2811.453403629782,-6966.593937557475,-5.6186023,-9.054206,Cityscapes
794.6719297321811,3673.881377904822,6.6545277,-4.896316,Cityscapes
-5526.55632241165,4383.213851596379,-1.7183086,-1.8868912,Cityscapes
-2593.647176701827,5242.98955161939,2.594372,-3.5344012,Cityscapes
4231.202934471021,-65.16565021234968,2.1329644,3.8954113,Cityscapes
2573.867229754865,2809.467000416022,-2.2788582,-3.1506693,Cityscapes
0.7398491789539869,1551.1510992293217,0.40824884,-0.37568954,Cityscapes
-4059.200374891847,2394.253679642686,-3.0148752,-1.9830898,Cityscapes
-7207.0565129349225,-299.27060108308194,-1.9065987,-0.5913874,Cityscapes
5055.87942385145,-6675.285349222937,0.66556907,4.792923,Cityscapes
2811.453403629782,-6966.593937557475,-5.6185875,-9.05436,Cityscapes
2263.332380476405,20797.730560841108,1.4333894,-7.4367967,Cityscapes
-10283.807641743362,-4241.010565042476,-3.8019655,0.8972575,Cityscapes
4408.347442386434,2579.6778399035998,3.9909248,3.159645,Cityscapes
2959.701707367061,3557.1127280447163,0.66396123,-4.3965282,Cityscapes
2896.684368439328,-2458.2220966428054,8.172374,3.1699026,Cityscapes
4596.336964433449,-13262.417529634698,-0.61678106,7.885823,Cityscapes
2862.005001049389,1436.6204183408427,1.5505776,4.322879,Cityscapes
-15.004929666940509,2983.3089186201523,0.81063163,1.5349916,Cityscapes
1337.7965455660692,-2406.923279494137,3.0072045,2.7583268,Cityscapes
3204.4281186644957,282.8316602722043,1.8238933,-3.9231942,Cityscapes
794.6719297321811,3673.881377904822,6.6545267,-4.896473,Cityscapes
3465.6575234257234,15907.68825112233,2.1076021,-6.311934,Cityscapes
-94.81553825624444,-4921.862863653316,-1.0827904,4.049376,Cityscapes
165.6934065493604,3532.517417275729,1.1882092,-0.47811872,Cityscapes
3137.0931731106552,-2159.664623233971,-2.0588865,4.150386,Cityscapes
-1801.0573481005779,-451.1769465778004,1.7502936,-2.748158,Cityscapes
1869.9266673194609,2673.0045351916974,-2.578537,-3.1048884,Cityscapes
-6029.534393579247,-6108.919222266837,-0.66907,2.464028,Cityscapes
3544.2057212618874,-6049.169878674121,1.3413435,6.7187138,Cityscapes
-9278.626314835828,-4400.873653587572,-1.2183788,1.1961219,Cityscapes
2806.5543258564894,9473.277115445822,3.7249105,-5.480386,Cityscapes
5584.913345120151,-4274.384108643529,2.2271698,6.136388,Cityscapes
-2446.1499229949673,6627.769735727757,1.7719262,0.46991754,Cityscapes
-1285.5983721157352,-1324.3699465554903,1.6836466,2.203756,Cityscapes
-1860.1416757113236,-7232.681302487337,-2.9456766,3.1711035,Cityscapes
2747.2717341223783,-802.6354046172754,-3.346036,-3.0663729,Cityscapes
-9554.182264055462,-5397.986084464289,-3.3104486,1.1899719,Cityscapes
-8059.099414079744,-526.270123628428,-1.3010833,0.22739008,Cityscapes
-3095.9852470944193,2855.7443393533463,2.3047645,-3.4812028,Cityscapes
-15550.438073518746,12757.573350107516,3.9837384,-1.4451365,Synthia
-1580.749199811524,-15205.586757230114,-0.86068743,7.0158286,Synthia
3569.6835705409353,12464.477772343214,5.619258,-5.6423435,Synthia
3018.287753594219,-11918.933663919983,-3.7162938,8.485152,Synthia
-5947.754147674377,-10791.839833801965,5.4081483,4.141204,Synthia
3458.524834480363,-4646.733640938354,-4.464093,4.228049,Synthia
8060.390105842582,-5623.810757481431,-2.0582857,5.0751386,Synthia
11826.686182083844,10572.703926993136,-8.293363,6.7719917,Synthia
10415.807889207977,-4980.270882735452,2.2404323,7.2979884,Synthia
1831.2920960410563,-5186.679317849581,-4.645969,6.4967346,Synthia
-18277.091521964423,8179.355791148554,3.636486,-1.5827311,Synthia
-6214.350479975254,-3878.86969206135,-4.8807616,3.1067622,Synthia
-7273.188560187001,1252.0014747208222,-4.0629506,-0.28364924,Synthia
5271.129317205837,-19871.386528980966,-1.9054961,9.931945,Synthia
5112.889702393749,-18484.099097188835,-1.7320489,9.24072,Synthia
3653.236099962778,11321.199921701264,-5.1996894,-5.725425,Synthia
14170.200528467996,-6754.902372315434,0.50484335,8.608248,Synthia
-488.9367895493696,-8177.701658937676,-3.7844388,4.7502203,Synthia
17869.16499201558,-2666.6017300853355,2.9304307,7.7117224,Synthia
-6693.280219513905,-196.8696238958306,-5.0565705,-1.9210021,Synthia
-22349.547255735517,1379.3722471155124,-7.6478343,-1.1469247,Synthia
2634.052399211501,-4454.5555743080895,-5.4911375,8.253397,Synthia
23238.106540019096,18915.413306280014,3.3911662,-8.756947,Synthia
4991.4032669371,3396.097366618754,7.0961814,0.058104414,Synthia
11906.064277367102,-6062.641257244253,1.485562,8.171627,Synthia
9419.714236318216,-1603.4390434585678,3.615521,4.8838863,Synthia
-9362.291471409424,-7701.282201904352,-4.535546,1.9083959,Synthia
-139.8954901490835,-680.8869604606292,0.6229618,3.3782306,Synthia
-6241.713228453278,-11895.89740901553,-4.0898957,2.6741583,Synthia
4911.335763060389,2138.0920156891048,5.1025395,1.740718,Synthia
-9420.277935198843,13697.020728884536,4.3156385,-1.2938341,Synthia
368.18446377241935,-11038.406516029567,-0.95742565,6.097732,Synthia
20901.922350585075,-9396.237634861813,1.7048047,9.866682,Synthia
-7236.369124373135,-6964.535889682692,-4.4753723,-1.1762003,Synthia
22236.84227897532,-19135.89503954452,0.43066865,10.222472,Synthia
-17789.19544539887,-10452.331070051949,-6.8818526,1.095259,Synthia
15425.352806615858,-2754.225191736569,3.5711677,6.3449297,Synthia
-5124.198791387948,30369.859989317294,0.94570845,-8.533155,Synthia
5684.0332016481225,25888.625309483527,1.3076284,-8.651958,Synthia
1504.2730836652684,5057.726923438938,2.8107848,-3.6539102,Synthia
1207.2311088430477,22531.823482057,-1.3102717,-7.150668,Synthia
-29435.631580088717,-2682.817542307203,-7.921946,0.26299316,Synthia
21758.03477447585,1008.1492181411796,3.1929514,9.429187,Synthia
-24121.846291753594,-4068.7218723924743,-7.4819384,0.29599267,Synthia
-17033.898038959316,-8940.687658776582,-6.462854,0.90130186,Synthia
-11434.463285385387,12181.828816868576,-0.9311965,-4.6304507,Synthia
5614.449941878421,10321.642950676884,-6.7663937,-5.872387,Synthia
998.1669818126271,-11924.933925801331,-3.402679,7.277699,Synthia
-246.9945796894974,27900.082359371932,0.75330615,-7.5027375,Synthia
-4691.941263625093,-6114.772403953202,6.0393777,5.899234,Synthia
-1559.6880010649725,12924.901510115636,-2.5140703,-6.03513,Synthia
-15035.843540708429,8443.840806841043,-7.025851,-2.4554722,Synthia
-3327.723318210011,-5133.585915835597,-5.6844444,4.174096,Synthia
16728.6153211228,-17719.74400023758,-0.78332543,9.231022,Synthia
-13628.426572535742,-9425.143411188494,-5.8758717,1.1446438,Synthia
16609.836053829953,18941.783908789585,2.7988863,-7.7797723,Synthia
-9584.914436914265,6925.487363551952,-0.7646476,-2.5594745,Synthia
16117.102923019773,10904.019142797257,3.6839564,-7.210595,Synthia
99.43804161898576,714.3772997497871,-7.605816,3.8186495,Synthia
16424.46715846011,6725.663135564136,-8.251525,6.8137693,Synthia
-8912.47901291976,-8656.576160093051,-4.538812,1.3749322,Synthia
-11649.731730761278,-9549.82464467783,-5.612102,1.7984419,Synthia
10049.640775679156,-16653.04920522732,-2.4209204,9.004486,Synthia
11003.100955031285,31496.111719931952,0.08826134,-8.049956,Synthia
-13750.959956807508,-5343.225104346502,-5.023394,0.4362897,Synthia
