pca_1,pca_2,tsne_1,tsne_2,dataset
-2672.427765128557,-1310.3021612154032,-4.1809745,-2.9587429,Cityscapes
8273.654498243233,-2289.5037583176013,2.1409004,3.6924636,Cityscapes
1480.098121180771,4795.353683773484,-5.8411093,4.0129437,Cityscapes
-6355.22458978923,2469.30363399238,-1.9652122,-2.5566487,Cityscapes
-2672.4277651285497,-1310.3021612154128,-4.1810274,-2.9586046,Cityscapes
1337.7965455660692,-2406.923279494137,-2.6726625,4.5524983,Cityscapes
-4423.127781743989,-8381.603090813609,3.653052,1.2708175,Cityscapes
3846.695714635032,15655.253765064415,-8.266249,-6.3832073,Cityscapes
4361.865634500692,-12832.869181182097,4.0527167,5.187865,Cityscapes
-168.87981523329876,6701.788504775302,-9.073464,-1.6229216,Cityscapes
-6084.46561648425,1748.1807499443967,-3.973379,4.31292,Cityscapes
3175.5286136339087,5092.067479181262,-5.910403,2.7703931,Cityscapes
-1987.5782427578226,4384.158176364128,-3.5357463,-0.21211088,Cityscapes
1887.1579654324644,-12446.744648530352,5.9684315,2.5310779,Cityscapes
-5892.144942475768,-3677.8428398356878,1.5998253,-1.5920134,Cityscapes
-5440.812355409828,-7283.6622244530845,3.3818204,-0.042727053,Cityscapes
1100.0146240539589,-6413.039308136083,2.6829836,2.9843597,Cityscapes
-5151.460575497122,-755.5060773146572,0.10225767,-0.70272803,Cityscapes
4230.456229430387,-14293.558328879146,5.6670313,4.4320807,Cityscapes
1104.8168940822147,-5531.789661420614,0.13182662,3.3044043,Cityscapes
-8206.299263945913,-1167.8849408809847,0.03080285,-3.3880565,Cityscapes
-1285.5983721157352,-1324.3699465554903,-4.2545633,-1.4043587,Cityscapes
1703.2937830159306,4027.1752540613247,-5.0224586,4.020986,Cityscapes
5312.675031449177,-11375.883903274547,5.150541,5.246595,Cityscapes
-4419.326456285532,-10690.112883325019,4.2197394,2.0537,Cityscapes
2626.084444716196,1967.8880406035767,-1.9569788,2.8596282,Cityscapes
-4344.532921047844,4193.1543056954715,-2.9534702,-2.007226,Cityscapes
5155.282170161255,536.5187592690745,-2.2143252,5.6427736,Cityscapes
-888.2824235200114,-12108.874736552887,5.096906,3.4243088,Cityscapes
4467.1535420344735,-7380.734552825703,1.0897112,6.145727,Cityscapes
-4447.502295764878,-1711.7333539811013,1.1597562,-1.2022511,Cityscapes
-8592.375187952592,-4194.418459735347,1.1620966,-2.3227274,Cityscapes
712.3391189117838,6746.346349223233,-5.2325,-4.364413,Cityscapes
945.1447155004141,14838.423307289657,-9.123258,-5.900938,Cityscapes
-5441.931209164198,1664.9181466812524,-1.3668242,-0.33093792,Cityscapes
2896.684368439328,-2458.2220966428054,11.374024,-0.41974008,Cityscapes
-5123.082988860732,-2455.5987596116565,-1.5494659,-1.7109275,Cityscapes
-11077.065262773373,-554.3136761697364,-0.666788,-5.1205816,Cityscapes
-2236.795638987322,-3054.7183004950557,1.4123744,-0.3931127,Cityscapes
2810.303835720554,6627.496837576169,-6.014361,2.7783172,Cityscapes
8305.29245341578,10701.578183333335,-9.490053,-7.405884,Cityscapes
-17595.079421816088,-5602.091934894404,4.269186,-5.839161,Cityscapes
1865.5307885369325,-7887.352193614506,3.3137417,4.857651,Cityscapes
3766.5995805446637,7664.0597045270415,-6.2147865,0.7249325,Cityscapes
4534.051541107638,-6708.720528032953,1.0042611,6.1479106,Cityscapes
1100.0146240539589,-6413.039308136083,2.6829836,2.9843597,Cityscapes
-6029.534393579247,-6108.919222266837,-1.5170445,-3.9921975,Cityscapes
4186.786892474063,2100.566779548352,-6.0255017,5.435128,Cityscapes
456.4434711471618,13875.829179595617,-9.793403,-5.82453,Cityscapes
-17595.079421816088,-5602.091934894404,4.269186,-5.839161,Cityscapes
4108.533329539632,-5068.712759877802,0.26703927,5.473479,Cityscapes
-3318.7857337063065,2242.561305667163,-0.41836885,0.014575333,Cityscapes
-9850.545171367086,605.2107193906556,0.58398765,-4.2621565,Cityscapes
173.64862744026817,-9786.86814530006,3.604085,2.9406679,Cityscapes
-3492.787956819327,1192.481047467659,-6.0121613,-1.2686774,Cityscapes
880.2996431427116,-14213.332079761198,5.020051,3.6237366,Cityscapes
-5496.659076181525,449.63407834301427,-1.480698,-2.38204,Cityscapes
-2545.5879028538357,3546.421197657802,-1.7530081,1.1274314,Cityscapes
-6656.73332343351,1394.6403868006162,-0.61970633,-1.0330362,Cityscapes
-1487.9918012741493,-1957.6211715416673,-1.6414464,1.2889745,Cityscapes
2811.453403629782,-6966.593937557475,-3.2612743,12.569269,Cityscapes
794.6719297321811,3673.881377904822,-8.610394,3.662627,Cityscapes
-5526.55632241165,4383.213851596379,-3.059779,-3.435092,Cityscapes
-2593.647176701827,5242.98955161939,-4.24425,1.1349155,Cityscapes
4231.202934471021,-65.16565021234968,-1.5245359,3.961053,Cityscapes
2573.867229754865,2809.467000416022,-7.483926,-1.4759848,Cityscapes
0.7398491789539869,1551.1510992293217,-2.1912327,-0.52219045,Cityscapes
-4059.200374891847,2394.253679642686,2.3560715,-0.7320783,Cityscapes
-7207.0565129349225,-299.27060108308194,0.49372584,-1.7671978,Cityscapes
5055.87942385145,-6675.285349222937,-0.2634788,4.358072,Cityscapes
2811.453403629782,-6966.593937557475,-3.2612743,12.569269,Cityscapes
2263.332380476405,20797.730560841108,-10.967699,-6.501002,Cityscapes
-10283.807641743362,-4241.010565042476,3.100017,-2.6905024,Cityscapes
4408.347442386434,2579.6778399035998,-3.661806,6.3785105,Cityscapes
2959.701707367061,3557.1127280447163,-0.46009305,1.8639371,Cityscapes
2896.684368439328,-2458.2220966428054,11.374024,-0.41974008,Cityscapes
