pca_1,pca_2,tsne_1,tsne_2,dataset,path,similar_name,similar_image_paths,similar_label_paths,IoU_score
3269.979254605007,-6667.838714297981,0.78638136,-5.75182,Cityscapes,dataset\original_cityscapes_inputs\14.jpeg,0002688.png,dataset\SYNTHIA_256\image\0002688.png,dataset\SYNTHIA_256\new_labels_100\0002688.png,0.4757537841796875
5784.425763197626,2545.306338023514,-5.2475786,4.741427,Cityscapes,dataset\original_cityscapes_inputs\87.jpeg,0002688.png,dataset\SYNTHIA_256\image\0002688.png,dataset\SYNTHIA_256\new_labels_100\0002688.png,0.4803009033203125
6760.294851771278,88.00717160013893,-5.7389297,1.250532,Cityscapes,dataset\original_cityscapes_inputs\189.jpeg,0004607.png,dataset\SYNTHIA_256\image\0004607.png,dataset\SYNTHIA_256\new_labels_100\0004607.png,0.653656005859375
-852.5119603380136,-1063.2995046288106,-0.50637025,-2.3377457,Cityscapes,dataset\original_cityscapes_inputs\167.jpeg,0005291.png,dataset\SYNTHIA_256\image\0005291.png,dataset\SYNTHIA_256\new_labels_100\0005291.png,0.4532623291015625
2671.8232734289463,-12162.158767373865,0.52775794,-6.337439,Cityscapes,dataset\original_cityscapes_inputs\439.jpeg,0004775.png,dataset\SYNTHIA_256\image\0004775.png,dataset\SYNTHIA_256\new_labels_100\0004775.png,0.5380096435546875
5095.036042511393,3583.838855961365,-7.9230304,-4.5617733,Cityscapes,dataset\original_cityscapes_inputs\237.jpeg,0004607.png,dataset\SYNTHIA_256\image\0004607.png,dataset\SYNTHIA_256\new_labels_100\0004607.png,0.50848388671875
-2493.237183575397,3307.844094968479,-2.6385312,-1.5626669,Cityscapes,dataset\original_cityscapes_inputs\486.jpeg,0004607.png,dataset\SYNTHIA_256\image\0004607.png,dataset\SYNTHIA_256\new_labels_100\0004607.png,0.6138458251953125
3057.967807135161,-1057.6786225763085,-5.354597,-5.2881637,Cityscapes,dataset\original_cityscapes_inputs\134.jpeg,0004607.png,dataset\SYNTHIA_256\image\0004607.png,dataset\SYNTHIA_256\new_labels_100\0004607.png,0.5562744140625
6849.740947487248,-6460.565377898505,-3.1450949,-4.7274423,Cityscapes,dataset\original_cityscapes_inputs\442.jpeg,0002688.png,dataset\SYNTHIA_256\image\0002688.png,dataset\SYNTHIA_256\new_labels_100\0002688.png,0.5576171875
5143.322202657597,5095.508923656495,-9.564021,-3.0545552,Cityscapes,dataset\original_cityscapes_inputs\183.jpeg,0005321.png,dataset\SYNTHIA_256\image\0005321.png,dataset\SYNTHIA_256\new_labels_100\0005321.png,0.4899139404296875
